cik,name,ticker,sic,industry
1116942,TTM TECHNOLOGIES INC,['TTMI'],3672,"""PRINTED CIRCUIT BOARDS"""
1117045,"Trycera Financial, Inc.",[],6199,"""FINANCE SERVICES"""
1117057,Planet Green Holdings Corp.,['PLAG'],2030,"""CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"""
1117106,NETSUITE INC,[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1117171,"CBAK Energy Technology, Inc.",['CBAT'],3690,"""MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"""
1117228,MASS MEGAWATTS WIND POWER INC,"['MMMW', 'MMMWD']",4991,"""COGENERATION SERVICES & SMALL POWER PRODUCERS"""
1117297,"QUINSTREET, INC",['QNST'],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1117480,CHIMERIX INC,['CMRX'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1117733,CAFEPRESS INC.,[],5900,"""RETAIL-MISCELLANEOUS RETAIL"""
1118004,BANCPLUS CORP,[],6022,"""STATE COMMERCIAL BANKS"""
1118037,SAJAN INC,[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1118072,SKINOVATION PHARMACEUTICAL INC,[],6770,"""BLANK CHECKS"""
1118233,WORLDNET INC OF NEVADA,[],6770,"""BLANK CHECKS"""
1118237,MBT FINANCIAL CORP,[],6021,"""NATIONAL COMMERCIAL BANKS"""
1118384,ROGERS INTERNATIONAL RAW MATERIALS FUND LP,[],6221,"""COMMODITY CONTRACTS BROKERS & DEALERS"""
1118417,"MODEL N, INC.",[],7370,"""SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."""
1118974,"30DC, INC.",[],8200,"""SERVICES-EDUCATIONAL SERVICES"""
1119190,"HUMBL, INC.",['HMBL'],5000,"""WHOLESALE-DURABLE GOODS"""
1119643,NUTRA PHARMA CORP,[],2833,"""MEDICINAL CHEMICALS & BOTANICAL PRODUCTS"""
1119807,LEGACY CARE PARTNERS INC.,[],3089,"""PLASTICS PRODUCTS, NEC"""
1119897,PCT LTD,[],3590,"""MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT"""
1120129,FUELS INC,[],1381,"""DRILLING OIL & GAS WELLS"""
1120193,"NASDAQ, INC.",['NDAQ'],6200,"""SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"""
1120295,IXIA,[],3825,"""INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS"""
1120370,"BROADWIND, INC.",['BWEN'],3360,"""NONFERROUS FOUNDRIES (CASTINGS)"""
1120914,PDF SOLUTIONS INC,['PDFS'],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1120970,Comstock Inc.,['LODE'],2860,"""INDUSTRIAL ORGANIC CHEMICALS"""
1121142,Maxar Technologies Inc.,[],3663,"""RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT"""
1121484,"OIL STATES INTERNATIONAL, INC",['OIS'],3533,"""OIL & GAS FIELD MACHINERY & EQUIPMENT"""
1121702,"YIELD10 BIOSCIENCE, INC.",['YTEN'],100,"""AGRICULTURAL PRODUCTION-CROPS"""
1121745,ATLAS AMERICA PUBLIC #9 LTD.,[],1382,"""OIL & GAS FIELD EXPLORATION SERVICES"""
1121783,AMERICAN SPECTRUM REALTY INC,[],6798,"""REAL ESTATE INVESTMENT TRUSTS"""
1121788,GARMIN LTD,['GRMN'],3812,"""SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"""
1121793,"JAGGED PEAK, INC.",[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1121795,GHST World Inc.,['GHST'],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1122020,"PCS Edventures!, Inc.",['PCSV'],8200,"""SERVICES-EDUCATIONAL SERVICES"""
1122051,"XTERA COMMUNICATIONS, INC.",[],3661,"""TELEPHONE & TELEGRAPH APPARATUS"""
1122063,"FTE Networks, Inc.",[],4813,"""TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)"""
1122108,"GLOBAL FOOD TECHNOLOGIES, INC.",[],3550,"""SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)"""
1122130,"THEDIRECTORY.COM, INC.",[],7311,"""SERVICES-ADVERTISING AGENCIES"""
1122304,AETNA INC /PA/,[],6324,"""HOSPITAL & MEDICAL SERVICE PLANS"""
1122342,ALLIANCE FIBER OPTIC PRODUCTS INC,[],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
1122388,ELLIE MAE INC,[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1122742,"FEARLESS FILMS, INC.",[],7812,"""SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION"""
1122897,CVENT INC,[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1122904,"NETGEAR, INC.",['NTGR'],3661,"""TELEPHONE & TELEGRAPH APPARATUS"""
1122976,AVIENT CORP,['AVNT'],2821,"""PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"""
1122991,"Unified Signal, Inc.",[],4899,"""COMMUNICATIONS SERVICES, NEC"""
1123270,BANK MUTUAL CORP,[],6035,"""SAVINGS INSTITUTION, FEDERALLY CHARTERED"""
1123312,Yasheng Group,[],100,"""AGRICULTURAL PRODUCTION-CROPS"""
1123316,"Crystal Rock Holdings, Inc.",[],5140,"""WHOLESALE-GROCERIES & RELATED PRODUCTS"""
1123360,GLOBAL PAYMENTS INC,['GPN'],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1123493,China Logistics Group Inc,[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
